time,dt,Center (x-axis),Center (y-axis),box width,box height
7.080510500119999,0.05221179989166558,631.25146,234.61781,17.355774,20.506897
7.129014800069854,0.04850429994985461,622.8198,234.0174,20.9906,19.231613
7.175765900174156,0.04675110010430217,611.8534,233.75491,20.269958,19.213974
7.221770600182936,0.046004700008779764,601.0754,233.71628,16.401978,15.300095
7.269574200036004,0.04780359985306859,590.63055,233.51859,16.963501,15.59581
7.315886200172827,0.04631200013682246,579.8689,232.58153,16.054504,15.996094
7.362461700104177,0.04657549993135035,569.77325,232.67351,16.484985,15.671448
7.415884700138122,0.053423000033944845,559.68994,232.54825,16.662292,16.57338
7.461209500208497,0.045324800070375204,548.8648,231.95044,17.293701,16.664429
7.508240200113505,0.04703069990500808,538.56665,232.31638,18.442688,18.187164
7.557928200112656,0.049687999999150634,528.77246,232.0188,18.929443,18.006744
7.613480400061235,0.05555219994857907,518.36755,231.80803,21.441833,20.366272
7.664667500182986,0.05118710012175143,507.8962,231.64265,20.019226,19.648438
7.710357500007376,0.045689999824389815,496.67236,230.94492,19.81485,19.479065
7.758410500129685,0.04805300012230873,486.3754,230.12114,19.506226,19.395752
7.807153400033712,0.04874289990402758,476.333,228.76459,18.601288,17.954498
7.854922100203112,0.04776870016939938,466.60858,226.69019,16.79544,16.680145
7.901871600188315,0.04694949998520315,457.32385,225.50064,16.309296,15.976669
7.948552600108087,0.04668099991977215,448.31235,222.535,16.229858,15.88002
7.997641800204292,0.04908920009620488,440.6663,220.88446,15.670166,14.893341
8.044831400038674,0.047189599834382534,432.44638,219.52798,17.698547,16.814575
8.095116300042719,0.050284900004044175,425.2208,217.4444,19.674622,19.23822
8.142131900181994,0.04701560013927519,416.1949,216.71652,18.22998,17.72293
8.18342600017786,0.04129409999586642,407.20056,215.9078,18.58368,18.29509
8.23429790022783,0.050871900049969554,399.74606,215.48926,17.72522,17.921707
8.28081090003252,0.04651299980469048,391.7466,216.06357,17.52533,17.540787
8.328978100093082,0.0481672000605613,382.89755,216.79263,17.832336,17.831924
8.379476600093767,0.05049850000068545,374.72476,218.30841,18.76709,18.525192
8.424791200086474,0.04531459999270737,365.84802,220.20834,17.388794,17.450974
8.47134290006943,0.04655169998295605,356.33514,222.09601,16.710205,16.458282
8.51686600013636,0.045523100066930056,347.40945,224.44604,16.731567,16.395172
8.56689040013589,0.05002439999952912,337.76703,225.68452,14.681366,15.122986
8.613123500021175,0.0462330998852849,327.77307,226.56137,16.436218,17.041534
8.665874800179154,0.05275130015797913,318.52765,226.34903,15.796295,16.080734
8.722038100007921,0.056163299828767776,308.15314,227.23547,17.40158,16.946564
8.768352800048888,0.04631470004096627,299.00415,227.44174,18.484985,18.890793
8.819979300023988,0.05162649997510016,290.23416,227.21419,18.946655,18.54721
8.868409900227562,0.048430600203573704,280.77502,226.93846,18.712555,18.321533
8.914857200114056,0.046447299886494875,272.00327,226.3429,17.700806,18.31752
8.9620296000503,0.04717239993624389,263.6406,225.66666,17.157791,16.979782
9.011027800152078,0.04899820010177791,254.99852,225.41116,15.836395,16.449951
9.058956900145859,0.047929099993780255,245.89093,225.1253,15.656433,15.367538
9.106390200089663,0.04743329994380474,237.15184,224.54532,15.85907,15.324753
9.153868600027636,0.047478399937972426,228.5425,223.1083,16.215454,15.195007
9.202295000199229,0.04842640017159283,219.341,223.40224,15.2061,14.938049
9.250964200124145,0.04866919992491603,210.64322,223.53983,17.192337,16.812042
9.297858600039035,0.04689439991489053,202.13861,223.12576,17.759766,17.065536
9.34068170003593,0.0428230999968946,192.978,223.49823,17.343033,17.457077
9.390702300006524,0.05002059997059405,184.19022,223.76184,17.683151,17.93631
9.439074200112373,0.04837190010584891,175.63553,223.6004,17.738083,18.572083
9.489471000153571,0.05039680004119873,165.98315,223.37132,16.559708,16.501465
9.531786600127816,0.04231559997424483,156.74794,223.57086,16.82965,16.617844
9.57993150013499,0.04814490000717342,146.94089,223.2907,17.557526,16.515198
9.629787500016391,0.04985599988140166,138.04279,222.5942,15.304611,15.921936
9.671534400200471,0.041746900184080005,129.01094,223.105,15.9290085,15.899353
9.72505300003104,0.05351859983056784,120.425804,222.44623,16.544388,16.082764
9.770282400073484,0.04522940004244447,111.591125,221.7343,15.135292,14.97345
9.816923400154337,0.0466410000808537,103.25564,221.43384,14.968948,14.741211
9.864801100222394,0.04787770006805658,95.172,221.34268,15.91848,15.620621
9.910290300147608,0.04548919992521405,86.05388,221.92108,14.253639,14.774673
9.959292700048536,0.04900239990092814,77.67264,221.19547,16.824005,16.681732
10.008379500126466,0.04908680007793009,68.93984,220.58817,16.555912,16.682343
10.05696970014833,0.048590200021862984,59.18616,220.4926,18.246025,19.021606
10.10287980013527,0.04591009998694062,50.912098,220.03859,17.41684,17.967834
10.155456400010735,0.052576599875465035,42.889366,220.08682,16.553753,16.169022
10.213666700059548,0.058210300048813224,34.115273,220.15222,15.652874,16.058258
10.263026800006628,0.049360099947080016,25.078587,220.09305,14.81819,15.9262085
10.308353700209409,0.04532690020278096,17.202541,219.57365,14.973289,15.030823
10.360429899999872,0.05207619979046285,8.060125,219.51962,15.520171,16.255646
