time,dt,Center (x-axis),Center (y-axis),box width,box height
3.9440944001544267,0.0490624001249671,623.2612,234.38135,18.421814,16.6221
3.9920845001470298,0.047990099992603064,612.8799,233.29297,19.91803,18.8712
4.0388163002207875,0.04673180007375777,602.38745,233.14807,18.442566,17.950943
4.0890134000219405,0.050197099801152945,589.8349,232.8505,19.971924,19.67305
4.134528300026432,0.04551490000449121,578.90686,232.2738,19.823303,19.718933
4.180510700214654,0.04598240018822253,568.8522,231.80493,18.370361,17.773743
4.22835660004057,0.047845899825915694,558.8165,232.0619,18.670654,18.234863
4.272487800102681,0.04413120006211102,548.08203,232.22353,16.743164,16.361237
4.319134900113568,0.04664710001088679,536.96985,231.88266,16.289185,15.142014
4.368559500202537,0.04942460008896887,526.3637,231.16675,17.384888,16.617432
4.4147682001348585,0.046208699932321906,515.91205,230.91766,15.939728,15.805771
4.461786300176755,0.047018100041896105,505.37976,229.66489,17.456268,17.580368
4.513038600096479,0.051252299919724464,494.8136,229.64162,17.425934,17.362976
4.559552100021392,0.04651349992491305,484.47885,228.5947,19.265137,18.9095
4.608877300051972,0.04932520003058016,474.2581,227.46738,19.904175,18.6465
4.657699700212106,0.04882240016013384,464.7505,226.10742,20.052887,19.43747
4.702827800065279,0.0451280998531729,455.2016,223.37634,17.533691,16.859634
4.75018690014258,0.047359100077301264,445.98633,221.38507,16.29538,15.589188
4.797966200159863,0.04777930001728237,436.11295,218.96883,17.721558,17.410492
4.849153500050306,0.05118729989044368,427.46686,217.71585,17.212128,17.266846
4.891186800086871,0.04203330003656447,417.556,216.12355,16.738953,16.38092
4.939486400224268,0.04829960013739765,407.98853,216.2414,16.846008,16.401978
4.988002700032666,0.04851629980839789,399.23456,215.26108,16.753174,17.107346
5.036839100066572,0.0488364000339061,390.58463,216.08519,18.284485,18.32489
5.084794200025499,0.04795509995892644,380.5143,216.37076,16.590149,17.051956
5.131687900051475,0.046893700025975704,372.04294,217.90256,18.043823,18.184921
5.179829900152981,0.04814200010150671,363.04208,219.27032,18.295105,17.586777
5.2242384001147,0.04440849996171892,354.65417,221.69861,16.11499,15.670975
5.274683400057256,0.050444999942556024,345.85114,224.18767,17.98111,17.391663
5.3194586001336575,0.044775200076401234,337.01807,225.97263,16.231384,15.9032135
5.3668626002036035,0.04740400006994605,328.14203,226.92575,16.634338,16.09961
5.416334200184792,0.049471599981188774,318.78113,227.27899,16.531464,16.238953
5.461984000168741,0.04564979998394847,310.09705,227.08711,16.300201,15.549316
5.508173900190741,0.046189900022000074,301.42508,227.60008,16.701477,17.270203
5.5603347001597285,0.0521607999689877,292.6952,227.08905,16.406036,16.77806
5.6096607001964,0.04932600003667176,283.35153,227.12724,15.378296,15.420685
5.655163700226694,0.04550300003029406,274.2338,226.67383,15.868103,16.337189
5.699041800107807,0.043878099881112576,265.2735,226.75766,16.440521,16.350204
5.748033600160852,0.048991800053045154,255.81049,226.96573,17.865707,17.94983
5.794185700127855,0.04615209996700287,246.85968,226.46147,18.245605,18.139648
5.843847600044683,0.04966189991682768,237.65924,226.1235,19.593567,18.881119
5.891108400188386,0.04726080014370382,227.53316,225.02179,18.681335,17.730362
5.940571400104091,0.04946299991570413,218.66272,224.51273,16.551926,16.758514
5.988672100007534,0.048100699903443456,209.48685,223.06436,15.850754,15.813202
6.035052200080827,0.04638010007329285,201.03445,222.90857,15.888412,15.4253235
6.084806200116873,0.04975400003604591,191.79744,222.9874,14.162445,14.270126
6.132949200225994,0.0481430001091212,183.28003,223.28613,15.586136,15.214127
6.180732200155035,0.04778299992904067,174.43912,223.54324,15.581055,15.035202
6.228140600025654,0.04740839987061918,165.89755,223.79019,16.579636,16.817474
6.273064400069416,0.04492380004376173,156.57495,224.04742,17.208359,16.678665
6.319446000037715,0.04638159996829927,147.57193,223.0679,17.391556,16.742294
6.365893000038341,0.04644700000062585,138.9296,222.83618,18.09494,18.589127
6.41418720013462,0.04829420009627938,130.45763,222.28186,17.345573,16.988724
6.459661400178447,0.045474200043827295,121.185074,222.0073,18.130592,17.609055
6.510863200062886,0.051201799884438515,111.98608,222.14983,15.286942,15.191864
6.555624300148338,0.0447611000854522,103.46869,222.27808,15.900291,15.893463
6.604056800017133,0.048432499868795276,95.8642,221.51959,14.692101,14.694824
6.651279300218448,0.04722250020131469,86.6593,221.1773,14.014938,13.96463
6.69680260005407,0.04552329983562231,77.965546,219.62984,15.740509,15.342194
6.745901300106198,0.04909870005212724,69.66481,219.79105,15.746864,14.692291
6.794239800190553,0.048338500084355474,60.270157,220.32428,15.493057,15.343124
6.84041460021399,0.046174800023436546,51.461403,219.40515,16.309025,15.983948
6.887381200212985,0.04696659999899566,43.489403,218.95908,17.194275,16.705368
6.934659600025043,0.047278399812057614,35.08031,218.48804,16.486105,17.192184
6.982562300050631,0.047902700025588274,25.889614,219.5321,19.578253,19.461975
7.0282987002283335,0.04573640017770231,17.582102,218.06601,17.786915,17.892456
7.080510500119999,0.05221179989166558,7.9487066,218.18408,15.042793,16.944778
