time,dt,Center (x-axis),Center (y-axis),box width,box height
3.4237288135593222,0.00847457627118644,630.16785,220.43768,19.278381,130.9561
3.4322033898305087,0.00847457627118644,628.60645,223.44974,21.98413,128.73524
3.440677966101695,0.00847457627118644,625.2861,224.80437,28.607666,125.87454
3.4491525423728815,0.00847457627118644,624.20557,220.11282,30.73822,138.51526
3.457627118644068,0.00847457627118644,622.826,220.19931,33.095093,138.47716
3.4661016949152543,0.00847457627118644,621.0738,220.80647,36.529907,137.88412
3.4745762711864407,0.00847457627118644,618.7459,221.17451,41.21985,135.10635
3.483050847457627,0.00847457627118644,617.30725,221.91861,45.385437,134.24574
3.4915254237288136,0.00847457627118644,615.74133,222.87979,48.444336,134.46675
3.5,0.00847457627118644,612.8008,222.23218,54.3985,135.31921
3.5084745762711864,0.00847457627118644,610.57874,222.44312,58.788147,135.37175
3.516949152542373,0.00847457627118644,609.07806,222.01755,61.834717,136.23317
3.5254237288135593,0.00847457627118644,607.9413,222.2031,64.0564,135.95332
3.5338983050847457,0.00847457627118644,605.8286,221.59987,68.340454,137.86716
3.542372881355932,0.00847457627118644,604.27094,221.2476,71.45813,135.59488
3.5508474576271185,0.00847457627118644,602.2155,219.84506,75.56897,138.55426
3.559322033898305,0.00847457627118644,600.0503,220.39905,79.899414,137.46452
3.5677966101694913,0.00847457627118644,598.4404,220.40704,83.1192,137.19228
3.5762711864406778,0.00847457627118644,596.94543,221.03311,86.10907,135.9329
3.5847457627118646,0.00847457627118644,595.4538,220.71489,89.09241,137.1464
3.593220338983051,0.00847457627118644,593.9114,220.25488,92.17731,138.0578
3.6016949152542375,0.00847457627118644,591.39606,220.55978,97.207886,137.65216
3.610169491525424,0.00847457627118644,588.19836,219.68936,103.60321,139.34904
3.6186440677966103,0.00847457627118644,586.9046,219.50363,106.190796,139.59175
3.6271186440677967,0.00847457627118644,585.5501,220.41132,108.89978,137.23798
3.635593220338983,0.00847457627118644,584.01196,220.25836,111.97601,137.23448
3.6440677966101696,0.00847457627118644,582.3705,219.9841,115.259094,137.54663
3.652542372881356,0.00847457627118644,581.0939,219.65674,117.812195,138.0634
3.6610169491525424,0.00847457627118644,578.1028,219.82736,123.79437,137.9842
3.669491525423729,0.00847457627118644,575.8241,219.52371,128.35178,138.55731
3.6779661016949152,0.00847457627118644,574.18005,219.31445,131.63992,138.80031
3.6864406779661016,0.00847457627118644,572.2597,219.4625,135.05576,137.97658
3.694915254237288,0.00847457627118644,570.1023,219.27963,138.04913,137.77374
3.7033898305084745,0.00847457627118644,568.5095,219.14136,140.49313,137.69281
3.711864406779661,0.00847457627118644,565.25824,218.91406,143.92966,137.9596
3.7203389830508473,0.00847457627118644,561.9127,219.16666,146.90958,137.68872
3.7288135593220337,0.00847457627118644,558.45624,219.58191,148.96118,137.7383
3.73728813559322,0.00847457627118644,555.7747,219.4382,148.43777,137.48347
3.7457627118644066,0.00847457627118644,550.1369,218.92957,145.86893,137.3117
3.7542372881355934,0.00847457627118644,546.22565,219.00668,143.91592,136.66954
3.76271186440678,0.00847457627118644,543.7423,218.2717,145.11343,138.62456
3.7711864406779663,0.00847457627118644,539.8538,218.35687,146.46402,138.32538
3.7796610169491527,0.00847457627118644,533.75146,219.03436,145.90039,137.20288
3.788135593220339,0.00847457627118644,530.5855,218.91483,147.53711,137.10689
3.7966101694915255,0.00847457627118644,527.6598,218.6737,147.08517,137.5129
3.805084745762712,0.00847457627118644,523.56573,218.86922,145.71921,136.42923
3.8135593220338984,0.00847457627118644,520.6021,218.26074,144.92484,137.05946
3.8220338983050848,0.00847457627118644,517.2169,218.06454,146.10815,137.07564
3.830508474576271,0.00847457627118644,513.47766,218.04048,145.36478,136.77615
3.8389830508474576,0.00847457627118644,507.53546,218.29504,145.46985,136.50012
3.847457627118644,0.00847457627118644,503.97797,218.49242,146.47397,135.978
3.8559322033898304,0.00847457627118644,500.49234,218.90384,145.9776,134.93346
3.864406779661017,0.00847457627118644,496.1038,218.27911,144.38739,135.5536
3.8728813559322033,0.00847457627118644,492.972,217.85675,144.52151,136.39357
3.8813559322033897,0.00847457627118644,490.63657,216.92697,143.96991,138.18225
3.889830508474576,0.00847457627118644,486.34,217.79852,145.26508,136.4861
3.8983050847457625,0.00847457627118644,482.06964,217.38382,141.51999,136.78233
3.906779661016949,0.00847457627118644,478.39545,216.53537,141.02255,137.74852
3.9152542372881354,0.00847457627118644,475.81445,217.37878,142.33765,136.33116
3.9237288135593222,0.00847457627118644,471.53284,216.9524,141.86523,138.37102
3.9322033898305087,0.00847457627118644,468.26733,216.56854,141.20828,137.60417
3.940677966101695,0.00847457627118644,466.41415,215.991,141.1745,136.84076
3.9491525423728815,0.00847457627118644,463.5193,215.43655,139.92264,136.22559
3.957627118644068,0.00847457627118644,458.361,215.02518,138.43036,133.73962
