Time,Model_1,Model_2,Model_3
0.0,2500.000000000001,16000.000000000002,1800.0000000000002
0.1,2499.9783428450432,15997.308812551559,1800.2691187451032
0.2,2499.902134806043,15996.973532067663,1800.4046546502475
0.30000000000000004,2499.7848603597135,15997.476866056924,1800.5227235928471
0.4,2499.662660231638,16002.266652021792,1800.2668700406377
0.5,2499.7734223907123,16004.836765906,1799.8847676084217
0.6000000000000001,2499.8536340612714,16004.764150806996,1799.7800999807662
0.7000000000000001,2499.4992929400737,16006.742947856224,1800.096523960782
0.8,2497.781425984289,16023.670208970812,1800.9754213978144
0.9,2498.5169489246787,16013.94220811622,1800.8232674262135
1.0,2496.4030688474254,16041.37139618301,1801.318733046881
1.1,2492.1979102056534,16104.025300596579,1801.550886970332
1.2000000000000002,2493.7559986548945,16077.788894556496,1801.7620697262512
1.3,2494.0288993613544,16072.270186781347,1801.890473610315
1.4000000000000001,2495.3072631571895,16048.083954443815,1802.2805968949808
1.5,2495.3784245046236,16045.717998101984,1802.398438167744
1.6,2497.142983024486,16007.556654712747,1803.325273921503
1.7000000000000002,2497.2570067380275,16003.8990330132,1803.4903204158938
1.8,2497.3767374697295,15999.56601712221,1803.705788257672
1.9000000000000001,2497.335008755938,15999.48692324008,1803.7710550637814
2.0,2497.38388567028,15995.31318555926,1804.0692682365466
2.1,2497.34259843836,16001.139952155258,1803.6169993679669
2.2,2497.441132807632,16003.393755729088,1803.2841001899392
2.3000000000000003,2497.825137084396,16003.120858328588,1802.778301724288
2.4000000000000004,2499.4807802579107,15993.034028243825,1801.3768709675921
2.5,2499.5935545683833,15991.50627970174,1801.3557404922449
2.6,2497.243644590224,16019.242811736429,1802.1679219886792
2.7,2496.2424464125465,16032.766701393382,1802.3667442132228
2.8000000000000003,2496.4427094696343,16029.033592518987,1802.4266901410267
2.9000000000000004,2495.143465892769,16050.1912948363,1802.3720549729383
3.0,2495.3179665945936,16046.278082463952,1802.4873860644107
3.1,2495.46899854239,16042.364154130559,1802.63209216853
3.2,2495.122305873187,16050.136190622026,1802.4368521021302
3.3000000000000003,2494.636328661493,16071.869364591028,1801.201372357535
3.4000000000000004,2494.8432076782565,16076.56751770534,1800.5014520961881
3.5,2493.928086262268,16080.113445361705,1801.4537772466201
3.6,2493.957885296771,16079.322232979048,1801.4835833349287
3.7,2494.636879736868,16070.721723230965,1801.3098681401377
3.8000000000000003,2496.2567825545875,16048.661019010722,1801.023198435601
3.9000000000000004,2490.6936841931165,16130.16007728718,1801.5302936171126
4.0,2495.0037762594575,16060.75834550535,1801.7321048719557
4.1000000000000005,2494.3631153778847,16071.260941408327,1801.7235174978498
4.2,2493.825610072866,16080.881132731232,1801.65098442327
4.3,2496.0306740526908,16033.446652019835,1802.740690187523
4.4,2493.9054273155098,16088.266218202501,1800.9371841436155
4.5,2494.0592193061034,16079.56398999686,1801.4911459325326
4.6000000000000005,2493.85294067617,16072.879142237334,1802.3559159922936
4.7,2491.9450653572485,16077.284230243886,1804.596280384598
4.800000000000001,2490.3316698560184,16091.553748684366,1805.5817751171205
4.9,2492.4570948122205,16066.822505411274,1804.7964790936194
5.0,2493.9609720272665,16047.687556913212,1804.3799437826337
5.1000000000000005,2497.3314997105267,16003.048675985592,1803.5801376392412
5.2,2497.391664720471,16001.559240704433,1803.62788003447
5.300000000000001,2496.4904671007516,16014.652272756519,1803.752770504636
5.4,2493.8989245202633,16057.945736362219,1803.6206246774743
5.5,2493.5396796739187,16064.046993135813,1803.6053992129382
5.6000000000000005,2492.5853349695744,16084.096581512451,1803.2100009173737
5.7,2493.148727473881,16067.314059457702,1803.883164679546
5.800000000000001,2493.596287586601,16041.14839178001,1805.4936448219628
5.9,2493.5354978354944,16040.511628161295,1805.6310973073744
6.0,2493.7072395160203,16039.553120319328,1805.4779884857016
6.1000000000000005,2493.6412412410723,16039.613469317032,1805.5627722663887
6.2,2495.0245737212003,16024.448364262213,1804.956860272076
6.300000000000001,2493.744351440351,16039.571005322257,1805.4276472617498
6.4,2493.9800774937444,16035.623088576758,1805.442094648549
6.5,2495.024154842251,16019.229706329368,1805.4024275972529
6.6000000000000005,2495.622359806141,16008.92548304853,1805.4558122290139
6.7,2496.2307020759417,15997.746699745272,1805.5665184914974
6.800000000000001,2494.9074706669294,16021.974946481163,1805.3442324161738
6.9,2493.683799889179,16048.435831300587,1804.7966461168849
7.0,2492.4982340587635,16084.820739662648,1803.3443160416807
7.1000000000000005,2492.4638320023364,16085.040907938419,1803.376627224477
7.2,2493.134065183667,16086.306496657473,1802.352073084216
7.300000000000001,2497.3968351873973,16057.08229856972,1799.015257514183
7.4,2498.334792293039,16047.169655171492,1798.5804058457634
7.5,2495.419820164927,16083.251628463693,1799.508102225028
7.6000000000000005,2498.629415799013,16037.224964653977,1799.059272157204
7.7,2505.416691977546,15931.910773127722,1798.60974817114
7.800000000000001,2503.795117984261,15958.32490832781,1798.6479882481847
7.9,2498.112641752892,16062.697498647804,1797.8148541130124
8.0,2499.8971601647822,16026.11704778829,1798.4611117445504
8.1,2495.521353010929,16128.809744211881,1796.0195546772281
