Time,Model_1,Model_2,Model_3,Model_4,Model_5,Model_6,Model_7,Model_8,Model_9,Model_10,Model_11,Model_12,Model_13,Model_14,Model_15,Model_16,Model_17,Model_18,Model_19,Model_20,Model_21,Model_22,Model_23,Model_24,Model_25,Model_26,Model_27
0.0,0.03703703703703704,0.03703703703703704,0.03703703703703704,0.03703703703703704,0.03703703703703704,0.03703703703703704,0.03703703703703704,0.03703703703703704,0.03703703703703704,0.03703703703703704,0.03703703703703704,0.03703703703703704,0.03703703703703704,0.03703703703703704,0.03703703703703704,0.03703703703703704,0.03703703703703704,0.03703703703703704,0.03703703703703704,0.03703703703703704,0.03703703703703704,0.03703703703703704,0.03703703703703704,0.03703703703703704,0.03703703703703704,0.03703703703703704,0.03703703703703704
0.1,0.037048358828697836,0.037204681017848414,0.03736232797131381,0.036893344775021354,0.03704835882869787,0.03720468101784844,0.036739622505125503,0.03689334477502137,0.03704835882869789,0.037035909783392496,0.037185852737981084,0.03733701474098096,0.036887171189884965,0.037035909783392496,0.037185852737981105,0.03673962250512552,0.03688717118988499,0.03703590978339254,0.037024425780358895,0.0371684896939011,0.037313679106767854,0.03688147432946954,0.03702442578035888,0.037168489693901116,0.03673962250512549,0.03688147432946956,0.03702442578035893
0.2,0.03702713788733914,0.03726885411550558,0.03750706176080362,0.0368577135268127,0.037088877167816836,0.03732246628096712,0.03667501718571622,0.03691897461494249,0.03713864092556962,0.036974822657666634,0.03720631132700594,0.03743818483219916,0.036814584755414936,0.037038400013480306,0.037265167818181476,0.0366436277573376,0.03685973477664719,0.03709141655015241,0.036934247538600265,0.037139393889277415,0.03737014147099238,0.0367654351749617,0.03697767672661095,0.03720408982968673,0.036606379721052115,0.03682306837061634,0.03704257332464308
0.30000000000000004,0.03699685405066746,0.037307833329431724,0.037615935239726755,0.03685518989769975,0.037153743923676145,0.03745569090256014,0.036696878445347025,0.03701076358297234,0.037298088891926866,0.03687877261324452,0.03717833435517711,0.03747478225412047,0.03674675800530786,0.03703844902515471,0.03733117564449852,0.03660238514004384,0.03688609189951653,0.03718137698766733,0.036782985887550156,0.03704848742087548,0.03734482936050557,0.0366390341323505,0.036913737555759094,0.0372042374770814,0.03650592331592483,0.03678558345218908,0.037066077209024745
0.4,0.03693767113421391,0.03710035279001942,0.03725712686585642,0.03706863240678964,0.03722355658020337,0.037378879015296004,0.03718346772396352,0.037355598481670416,0.037499397353059606,0.03675857732671641,0.03691380468183191,0.03706731712499862,0.03688570737617353,0.03703607041733857,0.03718738180188035,0.036999902764934346,0.03714467317075485,0.03730479232132882,0.0366022229210092,0.03673235232313789,0.03688837983195558,0.03670807335275109,0.03684902442444312,0.0370029174721909,0.03682255944099365,0.036971047068981744,0.03712051382750713
0.5,0.0369469827254164,0.03689160315732316,0.03682565959104379,0.03722462634275745,0.03716368334287722,0.03709882201305179,0.0374888355643284,0.03744478545584292,0.037368406413417994,0.03683075561488727,0.03677626052120499,0.03672161199794229,0.037096108270435184,0.03703705497670346,0.03697866163711655,0.03734939700568005,0.03728432127894566,0.03724038125062243,0.03672550048085115,0.03665925152867187,0.03661388501871884,0.03696461905465413,0.03690906702695448,0.036863189365374964,0.03721229622749529,0.03716518786777114,0.03711904626991119
0.6000000000000001,0.036968209588497045,0.03685537436759662,0.03672567318487727,0.03724204166396133,0.03712287908615315,0.03699347604056516,0.03750258579731924,0.037398754425344787,0.03725663002055222,0.036889606629331086,0.036784498644147526,0.036674381796763404,0.03715197808769739,0.03704126161761275,0.03692588834043783,0.03740210551884797,0.03728402597324542,0.037183012246209506,0.03681441950392077,0.036704493562375325,0.036609762864070784,0.037051894527979114,0.03695166140888704,0.036855497217919156,0.03729736756757964,0.03720460279536933,0.03710791752273935
0.7000000000000001,0.03687598795516607,0.03694795343670486,0.036994967373434814,0.037266477203132094,0.037327563341152344,0.03736982038949254,0.037639157565464924,0.03771136417172849,0.037737058167283066,0.03659070471803126,0.03667251547920436,0.036738920637412395,0.036970810760891426,0.03704374071877804,0.037102239043338134,0.037335530932952964,0.03739780607238071,0.03746423526862963,0.036320264717895935,0.03639585546597747,0.036479643772734806,0.03667513624477655,0.036757277285696784,0.036835744464040615,0.03703486242889516,0.037120708303231435,0.03719365408157311
0.8,0.036346669948553414,0.036922505611281554,0.037476057137321925,0.03771506034081465,0.0382895165039583,0.03884612088673096,0.03908698973309891,0.03968371066542192,0.04023332904767715,0.03514496494257594,0.03570485862042943,0.0362463623208573,0.03644313713045974,0.03700592927856902,0.03755224511877513,0.03774927512524408,0.03831305573191937,0.0388709598488264,0.034053630092462754,0.03457806419826088,0.035113596783507894,0.03527002799066539,0.03581165989650792,0.03635145982399788,0.036513439222368785,0.037068486654894754,0.03760888734481859
0.9,0.03662520504842377,0.03712144458257214,0.03758809167961686,0.037426862022126674,0.037896787603028156,0.038341575713343186,0.0381386378216447,0.0386034118129866,0.03901475789303552,0.035760977722318434,0.03626273475813091,0.036740459576577046,0.036584809411180065,0.03706689087790704,0.03752649135941877,0.037333161790382735,0.03779203851647776,0.03824069771796182,0.0349329999233955,0.03541752112989295,0.03590766815137956,0.035752604643742025,0.03623487431118239,0.03670928747801747,0.03652534528535107,0.03700004636646366,0.03745461680344307
1.0,0.0359219753917321,0.036697333349015385,0.037449159463841336,0.038304261685781466,0.039076630359466236,0.03982755072810748,0.04062872963551641,0.0414170274147492,0.04215182536599765,0.03395717533008907,0.03470762752088332,0.03543806051812635,0.03625090176121211,0.037007765266660664,0.03774530255562718,0.038515145237609946,0.03927157606041395,0.04001576069024151,0.032162304533150235,0.03286507743362481,0.033579453607764126,0.03434375119612419,0.035069674614989124,0.03579325418153261,0.03653182987492146,0.03727335427380764,0.03799749194901447
1.1,0.03426072989212888,0.035137294948301916,0.03599920742538696,0.04029158246721551,0.04125330770368828,0.04219960973132079,0.04697695003970656,0.048051600294636364,0.04907042002974063,0.03040594584790401,0.031199694381044914,0.03197967098831937,0.0357348683195444,0.03661583965300184,0.03748254360560288,0.04167240126484894,0.04263990783414139,0.04359262390011717,0.027140864676654355,0.027838948102675648,0.02855425896486339,0.03184496045701515,0.03263498976965539,0.03342981693854842,0.037119625388735915,0.03800179656185559,0.038870540813345233
1.2000000000000002,0.035000765858102786,0.03600583097929511,0.036998075626800055,0.039463102389508384,0.04054144551820181,0.04160757729662385,0.043933668103617665,0.04510521974785627,0.04622871136207426,0.03173246780950783,0.0326527200973769,0.033560987806261926,0.03589498615958305,0.03689361538740882,0.03788077851522887,0.04013749589755563,0.04120790516693158,0.04226944911772086,0.028854279938887766,0.02967490439643042,0.03051512542818599,0.03269906726144437,0.03360704139990227,0.0345217154279234,0.03668457999002137,0.037674422358852384,0.03865406095869628
1.3,0.03517212737040647,0.036248159141325245,0.03731241487010277,0.03928523763684243,0.04044632601438949,0.04159702745557298,0.04317083750498695,0.04443482120247344,0.04565434048165189,0.031975644591801654,0.032956188889861654,0.03392549251830755,0.03591482482228675,0.03698473954034461,0.038044590025498,0.03974284155608173,0.04089410453941685,0.04203910348774819,0.02912095221303106,0.029992462870451778,0.03088438950327154,0.032834736512366465,0.03380413748416445,0.03478127179062457,0.0365365519151187,0.03759724479512075,0.038649431266752014
