time                   ,dt                   ,Center (x-axis) ,Center (y-axis) ,box width ,box height ,center_y_corrected ,mean_y
   2.9895643000490963  ,0.064998             ,      380.13907 ,      324.52045 ,44.79297  , 43.651703 ,6.0568814          ,   
   3.052590300096199   ,0.063026             ,      380.17975 ,      317.3576  ,44.865814 , 44.64563  ,13.2197314         ,   
   3.1149776000529528  ,0.0623873            ,      379.6438  ,      313.2294  ,44.666504 , 44.052734 ,17.3479314         ,   
   3.179077700013295   ,0.0641001            ,      379.38574 ,      313.10352 ,44.571472 , 44.593018 ,17.4738114         ,   
   3.2405862999148667  ,0.0615086            ,      379.49524 ,      317.35748 ,44.82379  , 45.85611  ,13.2198514         ,   
   3.3017792999744415  ,0.061193             ,      378.7906  ,      324.77905 ,44.686676 , 45.246826 ,5.7982814          ,   
   3.3638446999248117  ,0.0620654            ,      378.71393 ,      333.46207 ,44.357574 , 45.634277 ,-2.8847386         ,   
   3.4292273           ,0.0653826            ,      378.67398 ,      342.35498 ,44.27295  , 44.869812 ,-11.7776486        ,   
   3.4887421000748873  ,0.0595148            ,      378.74432 ,      347.66296 ,44.903473 , 44.698975 ,-17.0856286        ,   
   3.5397882000543177  ,0.0510461            ,      378.91367 ,      348.9995  ,45.05713  , 44.94525  ,-18.4221686        ,   
   3.6022987000178546  ,0.0625105            ,      379.09552 ,      346.1543  ,44.732086 , 44.13324  ,-15.5769686        ,   
   3.6641013000626117  ,0.0618026            ,      379.53476 ,      340.28918 ,45.217285 , 44.0506   ,-9.7118486         ,   
   3.7268441000487655  ,0.0627428            ,      380.02036 ,      331.29453 ,45.36133  , 44.09912  ,-0.7171986         ,   
   3.786953200120479   ,0.0601091            ,      380.276   ,      322.63104 ,45.552307 , 44.50766  ,7.9462914          ,   
   3.8572976998984814  ,0.0703445            ,      380.93622 ,      316.18155 ,45.836273 , 44.890625 ,14.3957814         ,   
   3.9150473000481725  ,0.057749600149691105 ,      381.20532 ,      312.8176  ,46.112    , 45.082886 ,17.7597314         ,   
   3.9765898000914603  ,0.0615425            ,      381.71957 ,      313.85178 ,46.083008 , 45.443115 ,16.7255514         ,   
   4.040812199935317   ,0.0642224            ,      382.4596  ,      319.37366 ,45.66156  , 45.566162 ,11.2036714         ,   
   4.102992000058293   ,0.0621798            ,      382.96515 ,      327.31012 ,45.78769  , 46.201508 ,3.2672114          ,   
   4.165717199910432   ,0.0627252            ,      383.4063  ,      336.47272 ,45.770844 , 45.75937  ,-5.8953886         ,   
   4.227553700096905   ,0.0618365            ,      383.8762  ,      343.7879  ,46.077637 , 45.838715 ,-13.2105686        ,   
   4.2890878999605775  ,0.061534199863672256 ,      384.48688 ,      348.80713 ,45.53061  , 45.474792 ,-18.2297986        ,   
   4.352748499950394   ,0.0636606            ,      384.79715 ,      349.1413  ,45.659424 , 45.189117 ,-18.5639686        ,   
   4.412925899960101   ,0.060177400009706616 ,      384.97534 ,      345.11392 ,45.503174 , 44.487488 ,-14.5365886        ,   
   4.479647299973294   ,0.0667214            ,      385.02197 ,      338.14282 ,45.611816 , 44.63315  ,-7.5654886         ,   
   4.541019700001925   ,0.0613724            ,      385.05786 ,      329.49042 ,45.260437 , 44.80362  ,1.0869114          ,   
   4.604391400003806   ,0.0633717            ,      384.75757 ,      320.89084 ,45.66095  , 44.290527 ,9.6864914          ,   
   4.665814500069246   ,0.0614231            ,      384.57782 ,      315.05267 ,45.194244 , 44.183502 ,15.5246614         ,   
   4.727786600124091   ,0.061972100054845214 ,      384.2287  ,      312.7094  ,45.484222 , 44.911224 ,17.8679314         ,   
