time,dt,Center (x-axis),Center (y-axis),box width,box height
2.6259317999938503,0.03128559998003766,7.681759,201.32141,15.363518,22.027542
2.6578489000094123,0.03191710001556203,16.526762,199.98584,31.518719,24.285172
2.6867265999899246,0.02887769998051226,31.530554,200.22577,31.277088,27.04834
2.718606899958104,0.031880299968179315,48.16191,200.16818,34.97345,28.869217
2.7494720999966376,0.030865200038533658,63.42939,199.41193,35.560787,29.556076
2.781715599994641,0.032243499998003244,77.13531,196.98291,35.100773,30.905197
2.811041400011163,0.029325800016522408,91.548035,194.07281,35.21444,29.29956
2.846334100002423,0.035292699991259724,105.7171,190.60196,33.933662,27.97371
2.877850499993656,0.0315163999912329,120.03371,188.03278,33.369118,27.42273
2.909470100014005,0.031619600020349026,133.58055,186.31418,29.91288,26.113434
2.937665299978107,0.028195199964102358,146.76411,185.70428,29.414276,25.513184
2.9727872000075877,0.03512190002948046,159.82495,186.01028,29.385284,25.755142
3.0046812999644317,0.031894099956844,172.65935,186.04727,30.74411,27.830765
3.0349382999702357,0.030257000005804002,186.48152,186.73723,32.272125,29.545288
3.0639673999976367,0.029029100027401,199.71712,187.03836,33.01538,29.212845
3.0976628999924287,0.033695499994792044,214.45421,187.70015,35.437164,29.60791
3.13167049997719,0.03400759998476133,227.63287,189.73848,35.75496,29.738617
3.1615013999980874,0.02983090002089739,241.57428,193.69905,32.62079,28.164154
3.1940790999797173,0.03257769998162985,255.27768,198.45663,30.05188,26.803253
3.227877299999818,0.03379820002010092,269.85065,199.69131,30.591415,26.062363
3.2586792999645695,0.030801999964751303,282.94812,198.42732,29.735016,24.490753
3.2890399000025354,0.030360600037965924,297.0923,198.99918,29.14853,24.455063
3.3233753999811597,0.034335499978624284,310.72433,199.18448,30.003662,25.68843
3.355520399985835,0.03214500000467524,324.35828,199.15157,31.494904,27.541992
3.3841371999587864,0.028616799972951412,337.8676,199.397,31.471466,27.569778
3.4167999000055715,0.032662700046785176,351.96747,198.52295,32.136444,28.324081
3.4486424999777228,0.03184259997215122,365.773,196.87341,32.641876,27.230316
3.479604299995117,0.030961800017394125,379.35104,196.07469,30.481262,26.483612
3.5083715000073425,0.028767200012225658,392.63925,195.85724,29.799072,26.55455
3.541256800002884,0.03288529999554157,406.3589,196.33844,28.247772,24.459686
3.571135599981062,0.029878799978177994,419.88605,196.16922,27.81311,24.627426
3.605523300007917,0.03438770002685487,432.78528,195.71967,28.087158,23.199661
3.638233300007414,0.032709999999497086,446.44925,195.86542,29.090271,23.397873
3.6707467999658547,0.03251349995844066,460.26004,195.83923,29.94458,26.369522
3.6988506999914534,0.028103900025598705,474.14426,196.33855,30.307007,27.304474
3.732152500015218,0.03330180002376437,488.0907,196.03372,31.10736,27.893723
3.7614975000033155,0.029344999988097697,502.50974,195.95914,32.395813,28.377731
3.7964762999909,0.03497879998758435,515.12714,196.23734,29.1586,27.609818
3.8263853999669664,0.0299090999760665,529.4158,196.41063,28.968933,28.078064
3.860699799959548,0.03431439999258146,542.7301,196.95615,27.53418,23.402863
3.892129699990619,0.031429900031071156,556.1804,196.76337,27.026367,22.497086
3.9239203999750316,0.03179069998441264,568.88586,196.94597,25.432312,22.8956
3.954476099985186,0.030555700010154396,582.1092,196.85309,24.981812,22.76204
3.985851100005675,0.0313750000204891,595.0614,196.92645,27.299377,26.332596
4.017996700014919,0.032145600009243935,607.7138,195.57571,28.682251,28.37355
4.04968190001091,0.03168519999599084,622.50745,195.31445,31.40979,30.03862
4.079590599983931,0.029908699973020703,629.84937,196.95831,20.30127,32.13304
