time, dts, Center (x-axis), Center (y-axis)
0.000000000000000000e+00,8.336807002917882847e-03,0.000000000000000000e+00,-0.000000000000000000e+00
8.336807002917882847e-03,8.336807002917882847e-03,1.711240053176879883e+01,1.892814636230468750e+00
1.667361400583576569e-02,8.336807002917882847e-03,3.371927499771118164e+01,4.518608093261718750e+00
2.501042100875364854e-02,8.336807002917882847e-03,4.974877786636353960e+01,8.566543579101562500e+00
3.334722801167153139e-02,8.336807002917882847e-03,6.630362939834594727e+01,1.269653320312500000e+01
4.168403501458941424e-02,8.336807002917882847e-03,8.204959726333619585e+01,1.541782379150390625e+01
5.002084201750729708e-02,8.336807002917882847e-03,9.792917871475219727e+01,1.850984191894531250e+01
5.835764902042517993e-02,8.336807002917882847e-03,1.136061120033264160e+02,2.072769927978515625e+01
6.669445602334306278e-02,8.336807002917882847e-03,1.295719704627990723e+02,2.226158142089843750e+01
7.503126302626095256e-02,8.336807002917882847e-03,1.453560662269592001e+02,2.285033416748046875e+01
8.336807002917882847e-02,8.336807002917882847e-03,1.612022576332092285e+02,2.246381378173828125e+01
9.170487703209670438e-02,8.336807002917882847e-03,1.769047570228576944e+02,2.125703430175781250e+01
1.000416840350145942e-01,8.336807002917882847e-03,1.927218728065490723e+02,1.910980987548828125e+01
1.083784910379324840e-01,8.336807002917882847e-03,2.087128472328186035e+02,1.602711486816406250e+01
1.167152980408503599e-01,8.336807002917882847e-03,2.249434456825256348e+02,1.162185668945312500e+01
1.250521050437682358e-01,8.336807002917882847e-03,2.417312569618225098e+02,5.963722229003906250e+00
1.333889120466861256e-01,8.336807002917882847e-03,2.584507546424865723e+02,1.736381530761718750e+00
1.417257190496040153e-01,8.336807002917882847e-03,2.746536202430725098e+02,1.125381469726562500e+00
1.500625260525219051e-01,8.336807002917882847e-03,2.917000069618224529e+02,9.830551147460937500e-01
1.583993330554397672e-01,8.336807002917882847e-03,3.088076729774475098e+02,9.214096069335937500e-01
1.667361400583576569e-01,8.336807002917882847e-03,3.261538949012756348e+02,1.028045654296875000e+00
1.750729470612755467e-01,8.336807002917882847e-03,3.439112648963928223e+02,1.428665161132812500e+00
1.834097540641934088e-01,8.336807002917882847e-03,3.619845833778381348e+02,2.284248352050781250e+00
1.917465610671112985e-01,8.336807002917882847e-03,3.802915902137756348e+02,3.294364929199218750e+00
2.000833680700291883e-01,8.336807002917882847e-03,3.986938424110412598e+02,4.380760192871093750e+00
2.084201750729470781e-01,8.336807002917882847e-03,4.358317818641662598e+02,5.172088623046875000e+00
2.167569820758649679e-01,8.336807002917882847e-03,4.547214760780334473e+02,5.240730285644531250e+00
2.250937890787828299e-01,8.336807002917882847e-03,4.737496285438537598e+02,5.183898925781250000e+00
2.334305960817007197e-01,8.336807002917882847e-03,4.930331673622131348e+02,5.163177490234375000e+00
2.417674030846186095e-01,8.336807002917882847e-03,5.124531502723693848e+02,5.179664611816406250e+00
2.501042100875364715e-01,8.336807002917882847e-03,5.319748787879943848e+02,5.132843017578125000e+00
2.584410170904543613e-01,8.336807002917882847e-03,5.518067574501037598e+02,4.933654785156250000e+00
2.667778240933722511e-01,8.336807002917882847e-03,5.717079720497131348e+02,4.858818054199218750e+00
2.751146310962901409e-01,8.336807002917882847e-03,5.917611641883850098e+02,4.589958190917968750e+00
