time, dts, Center (x-axis), Center (y-axis)
0.000000000000000000e+00,8.336807002917882847e-03,0.000000000000000000e+00,-0.000000000000000000e+00
8.336807002917882847e-03,8.336807002917882847e-03,1.851343965530395508e+01,1.277832031250000000e+00
1.667361400583576569e-02,8.336807002917882847e-03,3.587647962570190430e+01,4.638351440429687500e+00
2.501042100875364854e-02,8.336807002917882847e-03,5.330893850326538086e+01,8.703498840332031250e+00
3.334722801167153139e-02,8.336807002917882847e-03,7.081277990341186523e+01,1.326982116699218750e+01
4.168403501458941424e-02,8.336807002917882847e-03,8.744630956649781695e+01,1.660952758789062500e+01
5.002084201750729708e-02,8.336807002917882847e-03,1.039360098838806152e+02,1.960017395019531250e+01
5.835764902042517993e-02,8.336807002917882847e-03,1.202223143577575684e+02,2.213719177246093750e+01
6.669445602334306278e-02,8.336807002917882847e-03,1.368737120628356934e+02,2.374728393554687500e+01
7.503126302626095256e-02,8.336807002917882847e-03,1.533283476829529093e+02,2.417707061767578125e+01
8.336807002917882847e-02,8.336807002917882847e-03,1.697324538230895996e+02,2.365310668945312500e+01
9.170487703209670438e-02,8.336807002917882847e-03,1.860089583396911621e+02,2.248273468017578125e+01
1.000416840350145942e-01,8.336807002917882847e-03,2.023916869163513184e+02,2.016515350341796875e+01
1.083784910379324840e-01,8.336807002917882847e-03,2.188152937889099121e+02,1.661159515380859375e+01
1.167152980408503599e-01,8.336807002917882847e-03,2.355852217674254803e+02,1.170260620117187500e+01
1.250521050437682358e-01,8.336807002917882847e-03,2.527523894309997559e+02,5.715606689453125000e+00
1.333889120466861256e-01,8.336807002917882847e-03,2.688351988792419434e+02,4.110313415527315328e+00
1.417257190496040153e-01,8.336807002917882847e-03,2.858642668724060059e+02,4.323730468750000000e+00
1.500625260525219051e-01,8.336807002917882847e-03,3.028083128929138184e+02,4.176406860351562500e+00
1.583993330554397672e-01,8.336807002917882847e-03,3.202405333518981934e+02,4.071838378906250000e+00
1.667361400583576569e-01,8.336807002917882847e-03,3.374898161888122559e+02,4.487045288085937500e+00
1.750729470612755467e-01,8.336807002917882847e-03,3.551914916038513184e+02,4.982627868652343750e+00
1.834097540641934088e-01,8.336807002917882847e-03,3.730802092552185059e+02,5.834045410156221578e+00
1.917465610671112985e-01,8.336807002917882847e-03,3.909765105247497559e+02,6.931991577148465922e+00
2.000833680700291883e-01,8.336807002917882847e-03,4.088052458763122559e+02,7.533096313476562500e+00
2.084201750729470781e-01,8.336807002917882847e-03,4.267813811302185059e+02,7.910034179687528422e+00
2.167569820758649679e-01,8.336807002917882847e-03,4.447224822044372559e+02,7.789505004882812500e+00
2.250937890787828299e-01,8.336807002917882847e-03,4.625995573997497559e+02,7.443084716796875000e+00
2.334305960817007197e-01,8.336807002917882847e-03,4.804955077171325684e+02,7.253700256347656250e+00
2.417674030846186095e-01,8.336807002917882847e-03,4.981400847434997559e+02,6.906517028808593750e+00
2.501042100875364715e-01,8.336807002917882847e-03,5.160426268577575684e+02,6.637397766113281250e+00
2.584410170904543613e-01,8.336807002917882847e-03,5.338166747093200684e+02,6.192268371582031250e+00
2.667778240933722511e-01,8.336807002917882847e-03,5.516050658226013184e+02,5.879264831542968750e+00
2.751146310962901409e-01,8.336807002917882847e-03,5.695685362815856934e+02,5.600875854492187500e+00
2.834514380992080307e-01,8.336807002917882847e-03,5.873493285179138184e+02,5.304092407226562500e+00
2.917882451021259205e-01,8.336807002917882847e-03,6.052820067405700684e+02,5.018836975097627828e+00
